,Link,Nama,Lokasi,Harga,Jenis,Listrik,Luas Kamar,K Mandi Dalam,AC,WiFi,Kasur,Akses 24 Jam,Panjang Kamar,Lebar Kamar,Latitude,Longitude,Kampus Terdekat,Jarak ke Kampus Terdekat,Kelompok Kampus
61,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-penjaringan-tipe-b-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Penjaringan Tipe B Rungkut Surabaya,Rungkut,650000,Putri,Termasuk listrik,9.0,No,No,Yes,Yes,No,3.0,3.0,-7.3206723,112.782491,UPN,1.507140691,UPN
62,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-homy-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Homy Rungkut Surabaya,Rungkut,1750000,Campur,Tidak termasuk listrik,16.0,Yes,Yes,Yes,Yes,Yes,4.0,4.0,-7.326980000000001,112.776225,UPN,1.512160945,UPN
63,https://mamikos.com/room/kost-surabaya-kost-putra-murah-kost-medokan-sawah-timur-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Medokan Sawah Timur Rungkut Surabaya,Rungkut,700000,Putra,Tidak termasuk listrik,12.0,Yes,No,Yes,Yes,No,3.0,4.0,-7.329623452000001,112.8053896,UPN,1.882059428,UPN
64,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-rl-3d-rungkut-surabaya-1?redirection_source=list%20kos%20result,Kost RL 3D Rungkut Surabaya,Rungkut,1500000,Putri,Termasuk listrik,7.5,Yes,Yes,Yes,Yes,Yes,2.5,3.0,-7.3262997,112.7767787,UPN,1.4922188459999999,UPN
65,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-pondok-nirwana-merr-mom-reni-executive-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Pondok Nirwana Merr Mom Reni Executive Rungkut Surabaya,Rungkut,1600000,Putri,Termasuk listrik,12.0,Yes,Yes,Yes,Yes,Yes,3.0,4.0,-7.3297269,112.7846992,UPN,0.55045432,UPN
66,https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-house-of-jelita-tipe-b-rungkut-surabaya?redirection_source=list%20kos%20result,Kost House Of Jelita Tipe B Rungkut Surabaya,Rungkut,1500000,Putra,Tidak termasuk listrik,16.0,No,Yes,Yes,Yes,Yes,4.0,4.0,-7.318463167999999,112.78603259999998,UPN,1.6179027030000002,UPN
67,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-murah-vip-gunung-anyar-surabaya-2?redirection_source=list%20kos%20result,Kost Yuanita Rungkut Gunung Anyar Surabaya,Gunung Anyar,1650000,Campur,Tidak termasuk listrik,10.5,Yes,Yes,Yes,Yes,Yes,3.0,3.5,-7.33713,112.776671,UPN,1.404066899,UPN
68,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-ga-gunung-anyar-1?redirection_source=list%20kos%20result,Kost GA Gunung Anyar Surabaya,Gunung Anyar,1250000,Putri,Tidak termasuk listrik,12.0,No,Yes,Yes,Yes,No,3.0,4.0,-7.3328809999999995,112.8038648,UPN,1.680810566,UPN
69,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-aulian-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Aulian Gunung Anyar Surabaya,Gunung Anyar,690000,Putri,Tidak termasuk listrik,12.0,No,No,Yes,Yes,Yes,3.0,4.0,-7.3431942999999995,112.8009847,UPN,1.7882910109999999,UPN
70,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-gunung-anyar-lor-2-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Gunung Anyar Lor 2 Rungkut Surabaya,Gunung Anyar,600000,Campur,Tidak termasuk listrik,13.2,Yes,No,No,Yes,Yes,2.2,6.0,-7.334763439,112.7829945,UPN,0.658755552,UPN
71,https://mamikos.com/room/kost-kabupaten-sidoarjo-kost-putri-eksklusif-kost-pokcan-waru-sidoarjo?redirection_source=list%20kos%20result,Kost Pokcan Waru Sidoarjo,Waru,700000,Putri,Tidak termasuk listrik,12.0,No,No,No,Yes,Yes,3.0,4.0,-7.344886,112.77350200000001,UPN,2.142946493,UPN
